,driving,transit,walking
2021-06-08,135.53,87.81,105.18
2021-06-09,141.34,95.64,118.72
2021-06-10,151.72,102.82,130.9
2021-06-11,168.4,112.01,151.59
2021-06-12,166.53,122.89,174.03
2021-06-13,132.25,95.01,124.44
2021-06-14,130.71,91.68,112.33
2021-06-15,145.06,102.5,130.29
2021-06-16,149.79,103.7,133.82
2021-06-17,161.2,110.19,142.2
2021-06-18,185.28,127.62,171.83
2021-06-19,176.47,124.18,171.16
2021-06-20,137.79,95.21,117.44
2021-06-21,143.22,99.35,121.92
2021-06-22,141.67,97.26,115.69
2021-06-23,155.83,109.98,139.57
2021-06-24,162.82,112.37,146.58
2021-06-25,182.62,129.26,173.23
2021-06-26,178.88,136.76,185.31
2021-06-27,146.79,119.53,162.12
2021-06-28,146.76,103.29,124.34
2021-06-29,150.71,105.4,124.4
2021-06-30,152.33,103.3,120.99
2021-07-01,150.19,99.34,117.9
2021-07-02,163.4,110.08,141.02
2021-07-03,143.21,103.88,139.87
2021-07-04,134.64,111.23,149.12
2021-07-05,130.48,100.07,121.8
2021-07-06,143.92,106.98,121.78
2021-07-07,153.72,111.06,133.44
2021-07-08,154.76,105.52,123.1
2021-07-09,167.53,121.05,154.74
2021-07-10,171.88,132.57,179.04
2021-07-11,131.54,102.58,130.71
2021-07-12,138.15,101.4,120.47
2021-07-13,144.89,107.52,133.59
2021-07-14,149.7,110.08,135.07
2021-07-15,163.65,118.81,147.18
2021-07-16,178.09,132.5,170.25
2021-07-17,162.95,124.26,161.34
2021-07-18,135.76,106.88,135.73
2021-07-19,142.98,106.46,131.89
2021-07-20,148.46,109.61,134.27
2021-07-21,145.21,107.22,130.47
2021-07-22,157.63,114.9,146.9
2021-07-23,177.2,129.09,172.02
2021-07-24,174.07,133.55,185.94
2021-07-25,131.05,100.14,128.75
2021-07-26,141.81,107.44,127.25
2021-07-27,145.1,106.91,129.79
2021-07-28,146.2,107.45,133.86
2021-07-29,142.91,101.48,122.69
2021-07-30,175.31,127.89,171.25
2021-07-31,171.16,130.26,184.45
