,total
2020-11-20,73.21312540610786
2020-11-21,235.8725855642155
2020-11-22,225.35950252623397
2020-11-23,84.13452105325119
2020-11-24,84.02088969041178
2020-11-25,83.0578669402333
2020-11-26,90.86081934808729
2020-11-27,82.92224154452212
2020-11-28,188.54566705626982
2020-11-29,189.81882770870337
2020-11-30,70.1602777162272
2020-12-01,74.43247665144182
2020-12-02,83.32135892435595
2020-12-03,51.043763908021624
2020-12-04,103.05192413920088
2020-12-05,162.84589131005512
2020-12-06,135.658500767639
2020-12-07,72.9030095351609
2020-12-08,89.38615185324474
2020-12-09,83.75533637568084
2020-12-10,118.89985174582077
2020-12-11,107.45852745243174
2020-12-12,196.07123436650355
2020-12-13,93.70016521801595
2020-12-14,65.51910075075698
2020-12-15,131.95305693640137
2020-12-16,70.82297313822198
2020-12-17,105.69965075669383
2020-12-18,128.0880810905278
2020-12-19,177.0756954927755
2020-12-20,167.26758916390568
2020-12-21,70.42154865002547
2020-12-22,141.7210162562056
2020-12-23,38.22546605698206
2020-12-24,276.7866738312735
2020-12-25,150.89494163424123
2020-12-26,109.87314823028476
2020-12-27,144.27556583512307
2020-12-28,77.90996180577297
2020-12-29,114.68453378001118
2020-12-30,154.1031492469192
2020-12-31,80.16863953299821
2021-01-01,59.35324746505892
2021-01-02,111.67290081258867
2021-01-03,104.865876481597
2021-01-04,43.63767684921613
2021-01-05,34.605074725516836
2021-01-06,43.63189046566355
2021-01-07,47.1747451396521
2021-01-08,42.360197059155354
2021-01-09,107.98979082283748
2021-01-10,83.6326855881812
2021-01-11,48.86406904429496
2021-01-12,50.88780744442983
2021-01-13,38.211528101993174
2021-01-14,25.58086036346906
2021-01-15,54.187365538822604
2021-01-16,62.17886511057766
2021-01-17,138.75246965848152
2021-01-18,45.853118640437
2021-01-19,44.11568565511916
2021-01-20,33.14788553143522
2021-01-21,53.06788743390468
2021-01-22,63.69195490158609
2021-01-23,134.08699516693517
2021-01-24,51.552062868369354
2021-01-25,56.348490703765734
2021-01-26,38.56932946278178
2021-01-27,43.12073527363877
2021-01-28,49.17719234933237
2021-01-29,56.012537267792986
2021-01-30,38.99411823347622
2021-01-31,103.07250359083244
2021-02-01,44.292595896520965
2021-02-02,48.943843379701185
