,driving,transit,walking
2021-02-17,70.04,42.83,46.66
2021-02-18,69.91,42.44,48.34
2021-02-19,75.56,45.28,52.67
2021-02-20,72.74,46.48,65.02
2021-02-21,59.23,43.4,48.76
2021-02-22,66.33,44.78,45.27
2021-02-23,68.99,45.54,50.2
2021-02-24,70.56,46.37,51.03
2021-02-25,70.85,45.48,48.58
2021-02-26,83.8,50.27,60.31
2021-02-27,80.29,53.59,73.42
2021-02-28,63.11,46.88,49.09
2021-03-01,70.42,48.31,49.69
2021-03-02,71.12,47.79,50.38
2021-03-03,71.38,47.4,46.07
2021-03-04,71.18,46.73,48.14
2021-03-05,79.2,51.26,54.69
2021-03-06,76.13,52.48,63.49
2021-03-07,64.25,49.76,49.73
2021-03-08,73.8,50.74,51.24
2021-03-09,76.82,52.16,57.03
2021-03-10,75.16,49.11,45.28
2021-03-11,76.79,49.57,49.19
2021-03-12,,,
2021-03-13,78.81,53.45,61.13
2021-03-14,65.83,48.39,46.93
2021-03-15,73.93,52.2,49.95
2021-03-16,76.86,51.9,51.65
2021-03-17,78.51,52.34,51.93
2021-03-18,77.77,50.62,50.19
2021-03-19,85.65,55.68,61.16
2021-03-20,79.59,56.87,69.02
2021-03-21,66.23,52.32,52.14
2021-03-22,76.51,54.86,56.03
2021-03-23,78.59,55.32,55.31
2021-03-24,79.4,54.49,54.48
2021-03-25,79.82,53.97,52.96
2021-03-26,86.78,56.96,55.54
2021-03-27,85.63,65.12,73.11
2021-03-28,69.74,57.44,50.14
2021-03-29,85.77,64.47,65.44
2021-03-30,95.24,74.29,78.52
2021-03-31,92.64,69.84,69.4
2021-04-01,95.13,68.39,66.07
2021-04-02,84.47,69.07,66.06
2021-04-03,80.92,64.87,63.38
2021-04-04,68.8,60.01,56.55
2021-04-05,74.81,64.44,52.2
2021-04-06,87.79,68.6,61.56
2021-04-07,93.4,69.83,62.76
2021-04-08,91.64,67.72,64.08
2021-04-09,99.31,69.65,67.94
2021-04-10,86.83,67.18,63.04
2021-04-11,84.14,72.76,61.03
2021-04-12,97.72,84.92,82.02
2021-04-13,95.95,81.06,80.63
2021-04-14,97.65,80.83,81.54
2021-04-15,100.54,81.71,79.6
2021-04-16,107.87,88.86,91.77
2021-04-17,104.86,95.19,107.05
2021-04-18,93.54,82.39,77.32
2021-04-19,93.38,78.93,74.08
2021-04-20,98.36,84.01,80.72
2021-04-21,97.86,78.48,74.89
2021-04-22,99.48,80.37,79.18
2021-04-23,109.81,90.53,90.51
2021-04-24,109.36,97.3,110.76
2021-04-25,91.7,80.41,72.72
2021-04-26,93.48,77.24,69.02
2021-04-27,98.37,79.75,74.56
2021-04-28,98.01,76.66,68.54
2021-04-29,99.76,79.27,75.49
2021-04-30,112.42,90.7,87.56
2021-05-01,107.69,100.07,102.57
2021-05-02,88.55,83.57,78.84
2021-05-03,89.96,82.0,66.06
2021-05-04,96.37,79.26,68.85
2021-05-05,99.18,79.79,72.09
2021-05-06,99.17,80.37,80.91
2021-05-07,106.77,88.37,84.86
2021-05-08,99.25,92.42,86.08
2021-05-09,94.94,87.09,77.85
2021-05-10,94.54,81.68,70.72
2021-05-11,99.36,83.78,76.49
2021-05-12,98.44,83.64,77.98
2021-05-13,100.26,81.06,73.46
2021-05-14,107.89,92.75,86.18
2021-05-15,107.73,100.39,101.76
2021-05-16,92.01,84.5,66.55
2021-05-17,99.83,89.37,76.6
2021-05-18,103.29,91.5,83.84
2021-05-19,103.39,93.08,88.89
2021-05-20,108.03,95.55,89.23
2021-05-21,139.02,110.96,102.68
2021-05-22,121.76,120.35,135.84
2021-05-23,101.31,100.95,84.71
2021-05-24,101.41,93.99,78.4
2021-05-25,104.1,97.67,87.67
2021-05-26,107.84,100.52,94.09
2021-05-27,114.48,105.49,102.89
2021-05-28,146.78,126.33,122.15
2021-05-29,141.2,144.61,162.5
2021-05-30,117.15,123.53,128.99
2021-05-31,118.58,126.95,119.79
2021-06-01,126.36,121.8,118.75
2021-06-02,125.26,122.55,118.88
2021-06-03,129.34,120.2,122.45
2021-06-04,149.11,124.67,113.33
2021-06-05,132.43,138.7,155.6
2021-06-06,110.19,111.32,97.28
2021-06-07,110.65,108.69,96.8
2021-06-08,114.84,111.81,104.24
2021-06-09,117.05,115.0,108.97
2021-06-10,116.9,115.71,108.8
2021-06-11,132.13,131.62,123.29
2021-06-12,127.88,139.64,150.08
2021-06-13,112.13,119.49,103.51
2021-06-14,110.47,110.85,96.49
2021-06-15,114.35,114.23,103.74
2021-06-16,114.9,116.1,106.07
2021-06-17,118.02,112.08,104.56
2021-06-18,138.58,123.65,115.87
2021-06-19,119.05,122.86,131.67
2021-06-20,102.28,104.3,86.62
2021-06-21,109.14,106.56,86.16
2021-06-22,110.71,111.56,101.99
2021-06-23,115.61,114.19,109.11
2021-06-24,117.48,115.84,110.57
2021-06-25,137.24,129.61,127.36
2021-06-26,131.91,139.58,157.3
2021-06-27,110.69,115.32,99.15
2021-06-28,111.1,111.72,97.15
2021-06-29,114.6,114.06,103.92
2021-06-30,119.63,115.86,107.73
2021-07-01,119.87,119.65,114.72
2021-07-02,131.95,131.52,128.14
2021-07-03,126.24,141.56,146.24
2021-07-04,110.45,120.01,99.91
2021-07-05,113.23,117.29,101.63
2021-07-06,115.21,119.52,102.88
2021-07-07,117.57,124.19,117.7
2021-07-08,115.23,118.57,112.12
2021-07-09,131.21,132.41,128.76
2021-07-10,128.45,139.41,148.28
2021-07-11,118.69,145.46,139.23
2021-07-12,107.16,116.38,96.2
2021-07-13,112.36,122.38,108.77
2021-07-14,115.78,123.72,114.49
2021-07-15,117.96,122.99,115.1
2021-07-16,134.24,137.61,131.43
2021-07-17,135.21,150.0,154.21
2021-07-18,122.75,127.13,107.34
2021-07-19,112.97,119.36,106.09
2021-07-20,115.59,121.11,108.4
2021-07-21,118.86,127.74,117.9
2021-07-22,124.27,129.77,122.97
2021-07-23,136.53,139.08,135.04
2021-07-24,123.87,139.87,147.0
2021-07-25,120.21,123.22,98.15
2021-07-26,119.95,123.08,113.53
2021-07-27,117.89,124.47,114.84
2021-07-28,121.36,124.82,114.32
2021-07-29,124.26,130.5,131.17
2021-07-30,139.94,140.32,132.28
2021-07-31,132.89,150.84,160.81
